"","run_year","mean_discharge_cfs","tributary","mean_discharge_zscore"
"1","05/06",92.381095890411,"Asotin Creek",-0.0377007443516597
"2","06/07",71.9706849315069,"Asotin Creek",-0.956508684002994
"3","07/08",100.800546448087,"Asotin Creek",0.34131455502036
"4","08/09",133.927671232877,"Asotin Creek",1.8325861090998
"5","09/10",62.4290410958904,"Asotin Creek",-1.38604134413128
"6","10/11",101.132328767123,"Asotin Creek",0.356250277264262
"7","11/12",134.946174863388,"Asotin Creek",1.87843571125439
"8","12/13",80.4468493150685,"Asotin Creek",-0.574940319255847
"9","13/14",93.2657534246575,"Asotin Creek",0.00212355747032407
"10","14/15",63.5852054794521,"Asotin Creek",-1.33399471864699
"11","15/16",66.6653005464481,"Asotin Creek",-1.19533921542684
"12","16/17",130.693698630137,"Asotin Creek",1.68700355762668
"13","17/18",97.1304109589041,"Asotin Creek",0.176097419811887
"14","18/19",92.4794520547945,"Asotin Creek",-0.0332730811884228
"15","19/20",85.825956284153,"Asotin Creek",-0.332791045467092
"16","20/21",84.9115068493151,"Asotin Creek",-0.373956478286181
"17","21/22",88.0284931506849,"Asotin Creek",-0.233640255979364
"18","22/23",113.127945205479,"Asotin Creek",0.896252516649131
"19","23/24",77.4049180327869,"Asotin Creek",-0.711877817460154
"20","05/06",6443.28767123288,"Deschutes River",1.55371977808411
"21","06/07",5771.04109589041,"Deschutes River",0.347954081489801
"22","07/08",5451.44808743169,"Deschutes River",-0.225279461982819
"23","08/09",5875.75342465753,"Deschutes River",0.535769889957968
"24","09/10",5572.54794520548,"Deschutes River",-0.00807039060645206
"25","10/11",6583.17808219178,"Deschutes River",1.80463226318051
"26","11/12",6399.48087431694,"Deschutes River",1.47514632760278
"27","12/13",5680.19178082192,"Deschutes River",0.185003474247402
"28","13/14",5789.39726027397,"Deschutes River",0.380878359792697
"29","14/15",5590.41095890411,"Deschutes River",0.0239693548465168
"30","15/16",5386.53005464481,"Deschutes River",-0.341718786325876
"31","16/17",6151.12328767123,"Deschutes River",1.02968320521531
"32","17/18",5479.3698630137,"Deschutes River",-0.175197958529069
"33","18/19",5350.95890410959,"Deschutes River",-0.405520484507694
"34","19/20",4837.15846994536,"Deschutes River",-1.32709146922396
"35","20/21",4697.23287671233,"Deschutes River",-1.57806705851579
"36","21/22",4740.65753424658,"Deschutes River",-1.50017902700819
"37","22/23",4982.49315068493,"Deschutes River",-1.066413945546
"38","23/24",5181.63934426229,"Deschutes River",-0.709218152171241
"39","05/06",330.520821917808,"Entiat River",-1.50141431281638
"40","06/07",628.080547945205,"Entiat River",1.28016474366182
"41","07/08",439.751366120219,"Entiat River",-0.480330585735768
"42","08/09",422.296438356164,"Entiat River",-0.643498707137932
"43","09/10",365.636712328767,"Entiat River",-1.17315206234061
"44","10/11",562.191780821918,"Entiat River",0.664238599575935
"45","11/12",619.141256830601,"Entiat River",1.19660052858435
"46","12/13",573.235616438356,"Entiat River",0.767476031146376
"47","13/14",431.547123287671,"Entiat River",-0.557023592353115
"48","14/15",547.159178082192,"Entiat River",0.523714297099165
"49","15/16",569.156010928962,"Entiat River",0.729340005834337
"50","16/17",556.950684931507,"Entiat River",0.615244998336973
"51","17/18",672.133424657534,"Entiat River",1.69196966389268
"52","18/19",370.527671232877,"Entiat River",-1.12743153075055
"53","19/20",375.367213114754,"Entiat River",-1.0821916438838
"54","20/21",462.489315068493,"Entiat River",-0.26777694675316
"55","21/22",459.228767123288,"Entiat River",-0.29825644745075
"56","22/23",595.18602739726,"Entiat River",0.972667789518797
"57","23/24",350.960928961749,"Entiat River",-1.31034082842837
"58","05/06",610.716770224172,"Imnaha River",0.726252582862517
"59","06/07",506.712000516013,"Imnaha River",-0.185430063299918
"60","07/08",431.905240885417,"Imnaha River",-0.841169456428046
"61","08/09",583.402829229204,"Imnaha River",0.486824659765421
"62","09/10",448.348651960784,"Imnaha River",-0.697030177400809
"63","10/11",611.165119204505,"Imnaha River",0.730182710162843
"64","11/12",721.040055495607,"Imnaha River",1.69332192912255
"65","12/13",489.882418683755,"Imnaha River",-0.332954429169806
"66","13/14",347.619697627315,"Imnaha River",-1.57999775561476
"67","05/06",2657.66301369863,"John Day River",0.981012245043318
"68","06/07",1676.2301369863,"John Day River",-0.450296952409245
"69","07/08",1961.81202185792,"John Day River",-0.0338079717141306
"70","08/09",2136.87945205479,"John Day River",0.22150813696827
"71","09/10",1310.50520547945,"John Day River",-0.983665530764805
"72","10/11",3881.90410958904,"John Day River",2.76642985436288
"73","11/12",2468.32240437158,"John Day River",0.704880313852156
"74","12/13",1447.82273972603,"John Day River",-0.783403389153016
"75","13/14",1719.72602739726,"John Day River",-0.386863100259169
"76","14/15",1443.67123287671,"John Day River",-0.789457893824407
"77","15/16",1832.00928961749,"John Day River",-0.223110621868439
"78","16/17",2877.27726027397,"John Day River",1.30129486291107
"79","17/18",1434.03726027397,"John Day River",-0.803507956667726
"80","18/19",2538.73263013699,"John Day River",0.807565689616545
"81","19/20",1619.60109289617,"John Day River",-0.532884028481798
"82","20/21",1219.71068493151,"John Day River",-1.11607910220935
"83","21/22",1151.08254794521,"John Day River",-1.21616550241389
"84","22/23",2311.86767123288,"John Day River",0.476708725310541
"85","23/24",2026.02692307692,"John Day River",0.0598422217011877
"86","05/06",1243.89863013699,"Methow River",-1.09745101254888
"87","06/07",1978.86301369863,"Methow River",0.722243497139622
"88","07/08",1468.76229508197,"Methow River",-0.540712229444979
"89","08/09",1264.28767123288,"Methow River",-1.04696989132745
"90","09/10",1297.21643835616,"Methow River",-0.965441727398361
"91","10/11",2009.48767123288,"Methow River",0.798066928073926
"92","11/12",2450.9043715847,"Methow River",1.89096824966246
"93","12/13",2004.53424657534,"Methow River",0.785802769626151
"94","13/14",1534.27397260274,"Methow River",-0.378512206462458
"95","14/15",1775.3397260274,"Methow River",0.218341243571395
"96","15/16",1900.07923497268,"Methow River",0.52718314754092
"97","16/17",1877.93150684932,"Methow River",0.472347702219268
"98","17/18",2417.79726027397,"Methow River",1.80899852428363
"99","18/19",1237.51232876712,"Methow River",-1.11326282302552
"100","19/20",1304.91803278689,"Methow River",-0.946373389646379
"101","20/21",1556.26301369863,"Methow River",-0.324069653530026
"102","21/22",1444.62191780822,"Methow River",-0.600481264474911
"103","22/23",2099.41369863014,"Methow River",1.02071431343415
"104","23/24",1189.80054644809,"Methow River",-1.23139217769256
"105","05/06",2181.20273972603,"Okanogan River",-1.16107416190621
"106","06/07",3348.76164383562,"Okanogan River",0.200041754393532
"107","07/08",2308.9043715847,"Okanogan River",-1.01220225227622
"108","08/09",2210.14246575342,"Okanogan River",-1.12733683047856
"109","09/10",2030.96438356164,"Okanogan River",-1.3362189165685
"110","10/11",2942.61917808219,"Okanogan River",-0.273430695241713
"111","11/12",4353.23770491803,"Okanogan River",1.37103908006938
"112","12/13",4254.27945205479,"Okanogan River",1.25567560457596
"113","13/14",3834.35616438356,"Okanogan River",0.766137759022788
"114","14/15",3439.22802197802,"Okanogan River",0.305505578742099
"115","15/16",3095.51912568306,"Okanogan River",-0.0951831125729378
"116","16/17",3246.22191780822,"Okanogan River",0.0805030718845381
"117","17/18",5012.58082191781,"Okanogan River",2.13968758910155
"118","18/19",2762.3698630137,"Okanogan River",-0.483561602366228
"119","19/20",2899.38524590164,"Okanogan River",-0.323831915264142
"120","20/21",3903.13698630137,"Okanogan River",0.846321012406396
"121","21/22",3036.83561643836,"Okanogan River",-0.163595128597263
"122","22/23",3643.70136986301,"Okanogan River",0.543876360109746
"123","23/24",1862.72131147541,"Okanogan River",-1.5323531950342
"124","05/06",129.101917808219,"Tucannon River",-1.26209064837554
"125","06/07",146.324931506849,"Tucannon River",-0.823150695876577
"126","07/08",178.48306010929,"Tucannon River",-0.00357941246446457
"127","08/09",272.796438356164,"Tucannon River",2.40005972364054
"128","09/10",149.07698630137,"Tucannon River",-0.753012750107105
"129","10/11",210.996438356164,"Tucannon River",0.8250456442757
"130","11/12",249.494535519126,"Tucannon River",1.80619524072262
"131","12/13",170.287945205479,"Tucannon River",-0.212437363200931
"132","13/14",179.541369863014,"Tucannon River",0.0233923150831819
"133","14/15",140.938630136986,"Tucannon River",-0.960424166640919
"134","15/16",144.55956284153,"Tucannon River",-0.868142289778637
"135","16/17",213.168767123288,"Tucannon River",0.880408886884574
"136","17/18",207.390410958904,"Tucannon River",0.733143639077314
"137","18/19",166.626301369863,"Tucannon River",-0.305756790299885
"138","19/20",179.253825136612,"Tucannon River",0.0160640465956454
"139","20/21",155.274246575342,"Tucannon River",-0.595071452615273
"140","21/22",163.162465753425,"Tucannon River",-0.394034943447066
"141","22/23",204.78904109589,"Tucannon River",0.666845998949774
"142","23/24",132.579781420765,"Tucannon River",-1.17345498242295
"143","05/06",477.988931506849,"Umatilla River",-0.57267571556007
"144","06/07",430.252054794521,"Umatilla River",-0.812765094580648
"145","07/08",478.587978142077,"Umatilla River",-0.56966285119689
"146","08/09",732.655890410959,"Umatilla River",0.708154456652595
"147","09/10",309.407123287671,"Umatilla River",-1.42054646951443
"148","10/11",1155.22383561644,"Umatilla River",2.83343123522708
"149","11/12",626.478961748634,"Umatilla River",0.174144805739129
"150","12/13",459.13698630137,"Umatilla River",-0.667490293501332
"151","13/14",588.375068493151,"Umatilla River",-0.0174961372807703
"152","14/15",410.801369863014,"Umatilla River",-0.910590993306116
"153","15/16",401.816666666667,"Umatilla River",-0.95577894776938
"154","16/17",752.47698630137,"Umatilla River",0.807843312136663
"155","17/18",632.939178082192,"Umatilla River",0.206636024995246
"156","18/19",885.643835616438,"Umatilla River",1.47759693575244
"157","19/20",689.548360655738,"Umatilla River",0.491348063716352
"158","20/21",523.416438356164,"Umatilla River",-0.344201155407535
"159","21/22",522.073424657534,"Umatilla River",-0.350955751584057
"160","22/23",689.003287671233,"Umatilla River",0.48860665616346
"161","23/24",479.396174863388,"Umatilla River",-0.56559808068173
"162","05/06",580.548,"Walla Walla River",-0.311410901022222
"163","06/07",510.776821917808,"Walla Walla River",-0.692703947914799
"164","07/08",517.650245901639,"Walla Walla River",-0.655141320402732
"165","08/09",983.844219178082,"Walla Walla River",1.8925657041817
"166","09/10",410.772219178082,"Walla Walla River",-1.23921986938875
"167","10/11",1047.33369863014,"Walla Walla River",2.23952984799163
"168","11/12",823.308469945355,"Walla Walla River",1.01525265540358
"169","12/13",624.980273972603,"Walla Walla River",-0.0685926257822404
"170","13/14",608.186849315068,"Walla Walla River",-0.160367141154319
"171","14/15",409.039205479452,"Walla Walla River",-1.24869062925866
"172","15/16",469.166830601093,"Walla Walla River",-0.920098708995572
"173","16/17",811.883534246575,"Walla Walla River",0.952816436568232
"174","17/18",752.765479452055,"Walla Walla River",0.629741724938582
"175","18/19",695.999671232877,"Walla Walla River",0.319521823682041
"176","19/20",666.320765027322,"Walla Walla River",0.157329341247189
"177","20/21",490.638164383562,"Walla Walla River",-0.802759852123745
"178","21/22",593.697287671233,"Walla Walla River",-0.239551257850867
"179","22/23",679.753424657534,"Walla Walla River",0.230737586013256
"180","23/24",436.437978142077,"Walla Walla River",-1.09895886613231
"181","05/06",2226.63835616438,"Wenatchee River",-1.66994947694954
"182","06/07",3865.39178082192,"Wenatchee River",1.37727174962731
"183","07/08",2653.96448087432,"Wenatchee River",-0.875347178462165
"184","08/09",3102.1095890411,"Wenatchee River",-0.0420324981418034
"185","09/10",2592.62191780822,"Wenatchee River",-0.989412148490652
"186","10/11",3525.20547945205,"Wenatchee River",0.744703784900375
"187","11/12",3713.25136612022,"Wenatchee River",1.09437043322207
"188","12/13",3718.68767123288,"Wenatchee River",1.1044791073424
"189","13/14",3112.28493150685,"Wenatchee River",-0.0231117019544138
"190","14/15",3518.18904109589,"Wenatchee River",0.731656892322048
"191","15/16",3447.67213114754,"Wenatchee River",0.600532452492349
"192","16/17",3125.52328767123,"Wenatchee River",0.00150469200828682
"193","17/18",3762.38082191781,"Wenatchee River",1.18572543410505
"194","18/19",2479.61643835616,"Wenatchee River",-1.19954302634237
"195","19/20",2548.35245901639,"Wenatchee River",-1.0717301058415
"196","20/21",3114.41917808219,"Wenatchee River",-0.0191431235403115
"197","21/22",3429.72328767123,"Wenatchee River",0.56715702455392
"198","22/23",3284.95616438356,"Wenatchee River",0.297966160110816
"199","23/24",2148.57923497268,"Wenatchee River",-1.81509847096187
"200","05/06",2898.42415730337,"Yakima River",-0.797249676331843
"201","06/07",3950.76712328767,"Yakima River",0.760970113472397
"202","07/08",2654.75956284153,"Yakima River",-1.15804744420587
"203","08/09",3423.31506849315,"Yakima River",-0.0200359430321837
"204","09/10",2909.11780821918,"Yakima River",-0.781415429303182
"205","10/11",4554.13698630137,"Yakima River",1.65438879113707
"206","11/12",4428.96174863388,"Yakima River",1.46903996586651
"207","12/13",3810.16438356164,"Yakima River",0.55277755779083
"208","13/14",3647.80821917808,"Yakima River",0.312374384570067
"209","14/15",3555.30136986301,"Yakima River",0.175398124971703
"210","15/16",4200.82240437158,"Yakima River",1.13123066552119
"211","16/17",4191.87123287671,"Yakima River",1.11797653353562
"212","17/18",3993.97260273973,"Yakima River",0.824945105738536
"213","18/19",2706.65753424658,"Yakima River",-1.08120135057669
"214","19/20",2440.96994535519,"Yakima River",-1.47460889193721
"215","20/21",2869.88767123288,"Yakima River",-0.839504073200383
"216","21/22",3371.01373626374,"Yakima River",-0.0974792989981473
"217","22/23",3247.29863013699,"Yakima River",-0.280666085906655
"218","23/24",2444.8301369863,"Yakima River",-1.46889304911177
